LOCID,ECOORD,NCOORD,ELEV
B4MWZ,390194.097222222,1431036.45833333,1080
B4PIIHP001,390624.357222222,1429570.75833333,1107.3
B4PIIHP002,390620.337222222,1429311.62833333,1108.18
B4PIIHP003,390897.877222222,1429512.36833333,1106.34
B4PIIHP004,390953.337222222,1429128.42833333,1104.64
B4PIIHP005,391112.207222222,1429079.07833333,1102.68
B4PIIHP006,391176.487222222,1429125.29833333,1102.66
B4PIIHP007,390993.117222222,1429301.64833333,1104.64
B4PIIHP008,390915.817222222,1429688.02833333,1104.77
B4PIIHP009,390833.447222222,1429714.05833333,1104.68
B4PIIHP010,390856.037222222,1429792.21833333,1104.15
B4PIIHP011,390924.437222222,1429781.40833333,1104.02
B4PIIHP012,391043.067222222,1429740.11833333,1103.67
B4PIIHP013,390980.547222222,1429854.33833333,1103.35
B4PIIHP014,391065.917222222,1429851.39833333,1102.75
B4PIIHP015,390197.797222222,1430396.84833333,1092.66
B4PIIHP016,390139.057222222,1430744.53833333,1088.06
B4PIIHP017,390074.827222222,1430796.53833333,1088.68
B4PIIHP018,390049.937222222,1430961.27833333,1087.35
B4PIIHP018A,390053.937222222,1430961.27833333,1087.35
B4PIIHP019,390276.227222222,1430963.96833333,1077.22
B4PIIHP020,391049.067222222,1429885.73833333,1102.89
B4PIIHP021,391094.177222222,1429815.01833333,1102.67
B4PIIHP022,390931.337222222,1429942.48833333,1080.25
B4PIIHP023,391049.977222222,1429963.53833333,1082.81
B4PIIHP024,391140.887222222,1429800.83833333,1102.72
B4PIIHP025,389041.967222222,1430559.95833333,1100.83
B4PIIHP026,389085.607222222,1430490.21833333,1101
