LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,start_date,last_date,last_meas,last10mean,water_elev
OB206A,391687.407222222,1430281.21833333,1093.92,1095.69,NA,NA,NA,0,391687.407222222,1430281.21833333,1998-04-02,2018-04-02,30.25,35.41777777777778,1060.2722222222224
OB208A,390713.377222222,1431244.28833333,1037.82,1037.52,60,160,160,0,390713.377222222,1431244.28833333,1998-04-02,2018-04-02,10.64,140.976,896.544
OB208B,390640.617222222,1431203.79833333,1036.4,1038.23,37.5,147.5,147.5,0,390640.617222222,1431203.79833333,1998-04-02,2017-11-21,12.55,15.94,1022.29
OB208C,390638.647222222,1431289.54833333,1031.9,1031.6,NA,NA,NA,0,390638.647222222,1431289.54833333,1998-04-02,2019-10-16,7.11,6.383,1025.2169999999999
OB209A,391330.417222222,1430769.05833333,1053.33,1053.03,NA,NA,NA,0,391330.417222222,1430769.05833333,1997-08-01,2008-05-29,15.29,22.069,1030.961
OW1A,391130.467222222,1430812.46833333,1031.12,975.01,24.5,29.5,29.5,0,391130.467222222,1430812.46833333,1996-12-13,2019-10-17,7.86,7.073,967.937
OW2,391143.817222222,1430833.52833333,1031.57,1031.58,NA,NA,NA,0,391143.817222222,1430833.52833333,1997-02-25,2018-04-02,9.76,15.456,1016.1239999999999
OW3,391165.717222222,1430802.96833333,1033.4,1033.17,NA,NA,NA,0,391165.717222222,1430802.96833333,1998-04-03,2019-10-17,10.68,9.831,1023.339
OW4,391175.297222222,1430762.75833333,1035.8,NA,49,79,79,0,391175.297222222,1430762.75833333,2000-03-06,2000-03-06,NA,NaN,NA
PMW7,390044.027222222,1431475.26833333,1081.96,1082.8,87.5,102.5,102.5,0,390044.027222222,1431475.26833333,1998-04-03,2019-10-17,27.7,27.639,1055.161
PMW7D,390057.487222222,1431470.43833333,1082.83,1082.82,NA,NA,NA,0,390057.487222222,1431470.43833333,1998-02-13,2018-04-02,20.52,20.375,1062.445
PS,391475.427222222,1430548.13833333,1068.66,NA,NA,NA,NA,0,391475.427222222,1430548.13833333,2016-05-18,2017-10-02,4.23,6.86,NA
PZ03,392419.177222222,1430943.73833333,1002.58,1003.48,3,13,13,0,392419.177222222,1430943.73833333,2003-03-19,2017-04-03,NA,9.29,994.19
RW-02,390878.227222222,1431100.38833333,1052.31,NA,NA,NA,NA,0,390878.227222222,1431100.38833333,2002-04-23,2002-04-23,NA,NaN,NA
RW201,390544.917222222,1431324.60833333,1028.74,1028.44,NA,NA,NA,0,390544.917222222,1431324.60833333,1997-08-18,2017-10-02,8.49,6.691,1021.749
RW202,390879.427222222,1431100.57833333,1053.56,1053.55,NA,NA,NA,0,390879.427222222,1431100.57833333,1997-08-08,2019-10-18,29.99,27.878999999999998,1025.671
RW203,391056.077222222,1430969.72833333,1027.3,1025.03,NA,NA,NA,0,391056.077222222,1430969.72833333,1997-07-28,2008-06-18,10.51,8.404,1016.626
RW204,391408.377222222,1430671.75833333,1071.88,1073.54,NA,NA,NA,0,391408.377222222,1430671.75833333,1997-07-11,2018-04-02,33.18,42.2825,1031.2575
RW205,391515.267222222,1430538.13833333,1069.06,1070.97,NA,NA,NA,0,391515.267222222,1430538.13833333,1997-08-18,2018-04-02,28.44,33.97222222222222,1036.9977777777779
RW206,391632.607222222,1430301.74833333,1084.09,1083.79,NA,NA,NA,0,391632.607222222,1430301.74833333,1997-06-24,2018-04-02,28.69,31.024,1052.766
RW207,391173.017222222,1430874.38833333,1031.95,1031.94,NA,NA,NA,0,391173.017222222,1430874.38833333,1997-06-05,2008-06-02,12.26,12.68,1019.2600000000001
RW208,390714.237222222,1431243.51833333,1036.7,1036.3,52,152,152,0,390714.237222222,1431243.51833333,1997-08-18,2017-04-04,NA,38.3675,997.9325
RW209,391325.617222222,1430775.06833333,1054.54,1056.04,NA,NA,NA,0,391325.617222222,1430775.06833333,1997-06-20,2002-04-23,NA,69.84444444444445,986.1955555555555
SCT1,391613.057222222,1431527.39833333,1010.01,1010,NA,NA,NA,0,391613.057222222,1431527.39833333,2000-08-18,2017-09-07,NA,7.185714285714286,1002.8142857142857
